botanical_name,shade_production,form,type
Acacia baileyana,dense,spreading,evergreen
Acacia baileyana 'Purpurea',dense,spreading,evergreen
Acacia cognata,dense,"small, spreading",
Acacia longifolia,dense,rounded,
Acacia melanoxylon,dense,rounded,evergreen
Acacia stenophylla,filtered,"weeping, pendulous",
Acca sellowiana,filtered,rounded,
Acer palmatum,dense,"spreading, vase",
Acer paxii,dense,rounded,
Acer rubrum,filtered,"Conical, rounded, Spreading",
Acer saccharinum,dense,"spreading, vase",
Acer spp.,dense,rounded,
Acmena smithii,dense,rounded,evergreen
Afrocarpus gracilior,dense,rounded,
Afrocarpus macrophyllus,dense,rounded,
Agathis robusta,dense,rounded,
Agonis flexuosa,filtered,pendulous,
Ailanthus altissima,dense,"spreading, vase",
Albizia julibrissin,filtered,rounded,deciduous
Allocasuarina verticillata,filtered,"vase, pendulous",
Alnus cordata,dense,"Conical, Spreading",
Alnus rhombifolia,dense,"Columnar, Conical, Rounded",
Angophora costata,dense,vase,
Araucaria bidwillii,dense,"Conical, Spreading",evergreen
Araucaria columnaris,dense,"Conical, Spreading",evergreen
Araucaria heterophylla,dense,"Conical, Spreading",evergreen
Arbutus 'Marina',dense,rounded,evergreen
Arbutus unedo,dense,rounded,evergreen
Archontophoenix cunninghamiana,"little, none",palm,evergreen
Auranticarpa rhombifolium,dense,rounded,
Bauhinia blakeana,dense,"pendulous, spreading",
Bauhinia variegata,dense,"pendulous, spreading",
Betula pendula,filtered,"Columnar, Pendulous",deciduous
Brachychiton acerifolius,dense,rounded,deciduous
Brachychiton populneus,dense,rounded,evergreen
Brahea armata,"little, none",palm,evergreen
Brahea brandegeei,"little, none",palm,evergreen
Brahea edulis,"little, none",palm,evergreen
Butia capitata,"little, none",palm,evergreen
Calocedrus decurrens,dense,conical,evergreen
Calodendrum capense,dense,rounded,
Carya illinoinensis,dense,"rounded, spreading",deciduous
Casimiroa edulis,dense,rounded,
Cassia leptophylla,filtered,rounded,
Castanea mollissima,dense,rounded,
Casuarina cunninghamiana,filtered,"Columnar, Conical",evergreen
Catalpa hybrida,dense,rounded,
Cedrus atlantica,dense,conical,
Cedrus atlantica 'Glauca',dense,"Conical, Spreading",evergreen
Cedrus deodara,dense,"Conical, Spreading",evergreen
Cedrus libani,dense,conical,
Ceiba speciosa,filtered,rounded,
Ceratonia siliqua,dense,rounded,evergreen
Cercidium floridum,little,rounded,
Cercis canadensis,filtered,rounded,deciduous
Cercis canadensis 'Forest Pansy',filtered,rounded,deciduous
Cercis canadensis 'Oklahoma',filtered,rounded,deciduous
